location,country,Lat,Lon,parameter,n,yBaseline,y2020,diffBase,diffBaseRel
ES1711A,ES,38.788055,-0.69722223,no2,2,3.19284705,3.1503821,-0.04246495000000028,-1.3300026382410104
ES1711A,ES,38.788055,-0.69722223,pm25,2,7.32459965,4.30560905,-3.0189905999999995,-41.2171414720257
ES1740A,ES,42.81222,-1.64,no2,2,39.025583499999996,29.386599500000003,-9.638983999999994,-24.699141269726294
ES1746A,ES,42.34167,-2.23167,no2,2,6.902520000000001,6.91508915,0.01256914999999914,0.18209508990918014
ES1747A,ES,42.82694,-1.64944,no2,2,24.13165,19.932742,-4.198907999999999,-17.400003729541904
ES1749A,ES,42.89444,-2.16583,no2,2,18.870837,13.9816885,-4.889148500000001,-25.90848778991626
ES1753A,ES,42.34,-2.05972,no2,2,8.52648,8.1312278,-0.39525219999999983,-4.635584672690253
ES1755A,ES,42.58056,-1.2825,no2,2,9.869494499999998,7.8426428,-2.026851699999998,-20.536530011744762
ES1765A,ES,39.684723,-0.27888888,no2,2,20.456892500000002,13.281991000000001,-7.174901500000001,-35.07327175913937
ES1778A,ES,41.779343,2.3580189,no2,2,2.6176545,3.51392245,0.8962679499999999,34.23935244318912
ES1779A,ES,42.43889,-2.25028,no2,2,10.9442265,8.374878800000001,-2.569347699999998,-23.47674090992176
ES1793A,ES,37.10409,-6.73408,no2,1,2.5614035,5.2173915,2.655988,103.69268254689274
ES1818A,ES,39.86806,-4.02083,no2,2,25.9809645,19.5442105,-6.4367540000000005,-24.774884704530507
ES1818A,ES,39.86806,-4.02083,pm25,2,13.68660275,15.517447,1.8308442500000002,13.376907940138762
ES1825A,ES,38.99323,1.30894,no2,2,2.5873046,3.39600785,0.8087032500000002,31.256592285268624
ES1825A,ES,38.99323,1.30894,o3,2,81.449915,76.146895,-5.303020000000004,-6.510774136473935
ES1826A,ES,39.551388,-0.46083334,no2,2,23.6763665,15.5510035,-8.125363,-34.31845422734101
ES1828A,ES,40.00944,3.85648,no2,2,5.7766876499999995,6.2879355,0.5112478500000002,8.850190298933684
ES1828A,ES,40.00944,3.85648,o3,2,70.782685,81.14362750000001,10.360942500000007,14.63767939857044
ES1834A,ES,39.988888,-0.02611111,no2,2,28.806143,16.6614295,-12.144713499999998,-42.16015139548533
ES1836A,ES,41.64222,-0.86194,no2,2,30.600209,31.7653005,1.165091499999999,3.807462556873383
ES1837A,ES,41.64833,-0.88389,no2,2,22.3128025,21.5055785,-0.8072240000000015,-3.617761596733541
ES1849A,ES,38.259167,-0.7175,no2,2,25.545161,16.899405,-8.645755999999999,-33.844985357500775
ES1854A,ES,41.008213,0.8310847,no2,2,2.9222276000000003,3.59481685,0.6725892499999997,23.016319810270755
ES1855A,ES,41.009506,0.91287583,no2,2,9.912766000000001,5.746212,-4.166554000000001,-42.03220372598325
ES1857A,ES,38.99389,-3.93778,no2,2,22.9164925,8.4228743,-14.4936182,-63.245360082918445
ES1858A,ES,40.06185,-2.12972,no2,2,35.00198,24.606973,-10.395007000000003,-29.69833992248439
ES1859A,ES,39.95856,-4.8457,no2,2,20.044277,12.75767775,-7.286599250000002,-36.35251722973097
ES1867A,ES,43.480556,-8.241389,no2,2,17.144299,9.821893,-7.322406000000001,-42.710442695848926
ES1867A,ES,43.480556,-8.241389,pm25,2,9.853169000000001,10.1492635,0.2960944999999988,3.005068724590015
ES1868A,ES,42.87583,-8.559167,no2,2,15.609481500000001,7.90873365,-7.700747850000001,-49.33378376469456
ES1868A,ES,42.87583,-8.559167,pm25,2,11.5594195,11.608066999999998,0.048647499999997734,0.420847257944032
ES1869A,ES,40.43,-3.54583,pm25,2,14.998911499999998,15.5753625,0.5764510000000023,3.8432855610888987
ES1877A,ES,39.94528,-0.05638888,no2,2,35.5814455,28.562444499999998,-7.019001000000003,-19.726576313489012
ES1877A,ES,39.94528,-0.05638888,pm25,2,7.503433599999999,7.9694176,0.4659840000000006,6.210276852453264
