mean,count,Lon,Lat,day,month,year,country,city,parameter,unit
7.625,24,-3.002778,53.04222,3,8,2016,GB,Wrexham,so2,µg/m³
10.311476,61,-2.939702,53.378216,3,8,2016,GB,Liverpool,no2,µg/m³
12.875,24,-2.111898,52.980434,3,8,2016,GB,Stoke-on-Trent,pm10,µg/m³
13.375,24,-1.260278,51.744804,3,8,2016,GB,Oxford,pm10,µg/m³
4.5555553,18,-6.250873,54.861595,3,8,2016,GB,Ballymena,no2,µg/m³
20.139166,24,-72.049965,-45.579044,3,8,2016,CL,Coyhaique,o3,µg/m³
8.681818,22,,,3,8,2016,BR,Santos,so2,µg/m³
17.869566,23,,,3,8,2016,BR,Piracicaba,pm25,µg/m³
25.272728,22,,,3,8,2016,BR,Taboão da Serra,no2,µg/m³
6.558889,18,6.93243,52.8757,3,8,2016,NL,Valthermond,no2,µg/m³
-828.69574,18,4.77401,52.334,3,8,2016,NL,Badhoevedorp,pm10,µg/m³
3.8333333,9,-76.38695,37.103683,3,8,2016,US,Virginia Beach-Norfolk-Newport News,pm25,µg/m³
0.03675862,29,-81.97055,33.510258,3,8,2016,US,Augusta-Richmond County,o3,ppm
0.035416666,36,-87.48246,39.379154,3,8,2016,US,Springfield,o3,ppm
0.028405797,69,151.69583,-32.87565,4,8,2016,AU,Lower Hunter,o3,ppm
8.395652,46,147.16722,-35.578056,4,8,2016,AU,South-west Slopes,pm10,µg/m³
0.02678261,23,150.67361,-32.195,4,8,2016,AU,Central Coast,o3,ppm
0.008740741,54,100.9462,13.227768,4,8,2016,TH,Chon Buri,no2,ppm
0.001,6,-82.4797,27.3503,3,8,2016,US,Sarasota-Bradenton-Venice,no2,ppm
9.868421,19,-88.80433,38.52211,3,8,2016,US,Springfield,pm25,µg/m³
16.125,8,-79.4667,36.3028,3,8,2016,US,CASWELL,pm10,µg/m³
0,8,-83.2375,34.805,3,8,2016,US,Seneca,so2,ppm
6.3,9,-123.10081,47.21355,3,8,2016,US,Shelton,pm25,µg/m³
2.50E-04,12,-75.34169,39.83692,3,8,2016,US,Philadelphia-Camden-Wilmington,so2,ppm
1.625,4,-103.48366,43.557613,3,8,2016,US,CUSTER,pm25,µg/m³
0.026828572,35,-70.555984,43.536762,3,8,2016,US,Portland-South Portland-Biddeford,o3,ppm
42.852173,23,20.455555,52.28586,4,8,2016,PL,Granica,o3,µg/m³
-77.77042,24,6.60537,52.0918,4,8,2016,NL,Eibergen,no2,µg/m³
8.291667,24,-2.844333,53.34633,4,8,2016,GB,Liverpool,pm10,µg/m³
8,24,-5.928833,54.59965,4,8,2016,GB,Belfast,pm25,µg/m³
71.14286,14,-1.185319,60.13922,4,8,2016,GB,Lerwick,o3,µg/m³
16.25,16,-3.947374,51.632694,14,11,2017,GB,Swansea,no2,µg/m³
13.181818,22,-6.654558,54.35373,20,10,2017,GB,Armagh,pm10,µg/m³
3.1826944,9,11.073983,59.95548,20,10,2017,NO,Lillestrøm,pm10,µg/m³
0.04566667,18,50.57083,26.204697,16,11,2017,BH,Manama,o3,ppm
6.0359373,64,4.4315257,45.434315,24,10,2017,FR,Loire,pm25,µg/m³
0.012972727,110,120.64924,24.179195,24,10,2017,TW,臺中市,no2,ppm
0.030333333,6,-118.7885,35.239193,14,11,2017,US,KERN,o3,ppm
5.7777777,9,-121.36366,37.801746,14,11,2017,US,Stockton,pm25,µg/m³
23.533333,6,-117.0598,46.4256,14,11,2017,US,ASOTIN,pm25,µg/m³
0.009833334,6,-105.586,41.30283,15,11,2017,US,Laramie,no2,ppm
0.02950893,112,-111.89362,33.462902,14,11,2017,US,Phoenix-Mesa-Scottsdale,o3,ppm
5.2,25,-111.01044,32.19568,14,11,2017,US,Tucson,pm25,µg/m³
0.44666666,15,-104.980446,39.789898,14,11,2017,US,Denver-Aurora,co,ppm
0.001,5,-90.5875,41.53,14,11,2017,US,Davenport-Moline-Rock Island,so2,ppm
14.8,5,-91.78899,39.4751,14,11,2017,US,MONROE,pm10,µg/m³
0.0268,5,-113.9956,48.5103,14,11,2017,US,Kalispell,o3,ppm
4.4,5,-106.48982,45.36615,14,11,2017,US,ROSEBUD,pm10,µg/m³
21.285715,21,-1.395778,50.90814,22,8,2017,GB,Southampton,o3,µg/m³
10.05,20,-1.829999,52.437164,22,8,2017,GB,Birmingham,pm25,µg/m³
363.2166,771,37.559452,55.717316,22,8,2017,RU,Moscow,co,µg/m³
0.015541667,72,99.666,18.310009,16,11,2017,TH,Lampang,o3,ppm
0.35714287,21,118.312256,24.432133,16,11,2017,TW,金門縣,co,ppm
87.036736,245,120.35393,22.652199,16,11,2017,TW,高雄市,pm10,µg/m³
4.3,4,-81.3628,28.5997,14,11,2017,US,Orlando-Kissimmee,pm25,µg/m³
10.5,4,-77.7219,39.5656,14,11,2017,US,Hagerstown-Martinsburg,pm25,µg/m³
0.03975,4,-97.67973,31.088001,14,11,2017,US,Killeen-Temple-Fort Hood,o3,ppm
12,1,11.8734,44.2856,15,11,2017,IT,FAENZA,pm10,µg/m³
3.625,24,12.3322,44.2839,14,11,2017,IT,CERVIA,no2,µg/m³
6.473158,19,21.17946,55.69,2,11,2017,LT,Klaipeda,pm25,µg/m³
43.96765,92,21.178617,49.048126,24,10,2017,SK,Prešovský kraj,o3,µg/m³
0.03723077,13,-86.99,38.9856,19,10,2017,US,Bloomington,o3,ppm
5.6923075,13,-72.27233,42.93052,19,10,2017,US,Keene,pm25,µg/m³
22.277779,144,-6.042459,37.34075,10,10,2017,ES,Mairena Del Aljarafe,no2,µg/m³
13.6,20,-1.220874,54.569298,24,8,2017,GB,Middlesbrough,pm10,µg/m³
0.017077563,2741,35.16779,32.10348,20,11,2017,IL,שומרון,no2,ppm
0.01614163,5664,35.193157,32.902454,19,11,2017,IL,צפון,no2,ppm
1.4399999,60,84.94384,24.74897,20,11,2017,IN,Gaya,so2,µg/m³
14.874545,55,,,20,11,2017,IN,Mandi Gobindgarh,so2,µg/m³
142.81705,61,,,20,11,2017,IN,Mandi Gobindgarh,pm25,µg/m³
16.821404,57,,,20,11,2017,IN,Pali,no2,µg/m³
353.32727,55,,,20,11,2017,IN,Ghaziabad,pm10,µg/m³
14.709375,96,-9.212431,38.89521,26,10,2017,PT,Lisboa,pm25,µg/m³
13.115853,82,3.1197598,51.005974,16,11,2017,BE,West-Vlaanderen,o3,µg/m³
46.857143,21,-4.243631,55.865784,11,10,2017,GB,Glasgow,o3,µg/m³
52.4,5,-120.6806,38.2019,10,10,2017,US,CALAVERAS,pm10,µg/m³
6.67E-04,6,-82.40163,27.816805,10,10,2017,US,HILLSBOROUGH,so2,ppm
0.025,3,-86.3097,42.1978,10,10,2017,US,Niles-Benton Harbor,o3,ppm
0.0205,6,-90.20433,32.338005,10,10,2017,US,Jackson,o3,ppm
4.1749997,4,-114.15889,46.24362,10,10,2017,US,RAVALLI,pm25,µg/m³
