countryCode,date,parameter,mean
AUS,2020-01-24,no2,0.009162105411411202
AUS,2020-01-24,o3,0.04005971417116781
AUS,2020-01-24,pm25,NA
AUS,2020-01-25,no2,0.006976660623502558
AUS,2020-01-25,o3,0.04183427845747398
AUS,2020-01-25,pm25,NA
AUS,2020-01-26,no2,0.0076815070997196195
AUS,2020-01-26,o3,0.04045586597879075
AUS,2020-01-26,pm25,NA
AUS,2020-01-27,no2,0.005386493296302543
AUS,2020-01-27,o3,0.05153966653838641
AUS,2020-01-27,pm25,NA
AUS,2020-01-28,no2,0.01134942005657216
AUS,2020-01-28,o3,0.04224132056907792
AUS,2020-01-28,pm25,NA
AUS,2020-01-29,no2,0.0116710667806825
AUS,2020-01-29,o3,0.04970660299253685
AUS,2020-01-29,pm25,NA
AUS,2020-01-30,no2,0.01823743138372637
AUS,2020-01-30,o3,0.053953371088408024
AUS,2020-01-30,pm25,NA
AUS,2020-01-31,no2,0.01772619903261848
AUS,2020-01-31,o3,0.05318359807486408
AUS,2020-01-31,pm25,NA
AUS,2020-02-01,no2,0.013150934685252719
AUS,2020-02-01,o3,0.0400121595657483
AUS,2020-02-01,pm25,NA
AUS,2020-02-02,no2,0.0066727643550655484
AUS,2020-02-02,o3,0.041078203706075234
AUS,2020-02-02,pm25,NA
AUS,2020-02-03,no2,0.009372599084690738
AUS,2020-02-03,o3,0.04021462883880949
AUS,2020-02-03,pm25,NA
AUS,2020-02-04,no2,0.0068107449885936545
AUS,2020-02-04,o3,0.03602119886727463
AUS,2020-02-04,pm25,NA
AUS,2020-02-05,no2,0.009717787792496085
AUS,2020-02-05,o3,0.03318933477708509
AUS,2020-02-05,pm25,NA
AUS,2020-02-06,no2,0.011900415529571998
AUS,2020-02-06,o3,0.033517396604276536
AUS,2020-02-06,pm25,NA
AUS,2020-02-07,no2,0.011654262906342671
AUS,2020-02-07,o3,0.04370548970767851
AUS,2020-02-07,pm25,NA
AUS,2020-02-08,no2,0.005528567279190634
AUS,2020-02-08,o3,0.032834724816878075
AUS,2020-02-08,pm25,NA
AUS,2020-02-09,no2,0.0027462889630855717
AUS,2020-02-09,o3,0.03818162887758825
AUS,2020-02-09,pm25,NA
AUS,2020-02-10,no2,0.010067229643205538
AUS,2020-02-10,o3,0.03862706430233641
AUS,2020-02-10,pm25,NA
AUS,2020-02-11,no2,0.012534005903345143
AUS,2020-02-11,o3,0.04411641338685169
AUS,2020-02-11,pm25,NA
AUS,2020-02-12,no2,0.008380340274686447
AUS,2020-02-12,o3,0.028136869774598124
AUS,2020-02-12,pm25,3.811095768526321
AUS,2020-02-13,no2,0.01065897836108868
AUS,2020-02-13,o3,0.025983863275659352
AUS,2020-02-13,pm25,4.16931158897623
AUS,2020-02-14,no2,0.010702326449385726
AUS,2020-02-14,o3,0.02880164425925429
AUS,2020-02-14,pm25,4.862897998512308
AUS,2020-02-15,no2,0.008842421818794
AUS,2020-02-15,o3,0.03175783983370206
AUS,2020-02-15,pm25,5.709888896824042
AUS,2020-02-16,no2,0.004632330882207688
AUS,2020-02-16,o3,0.03255699888319559
AUS,2020-02-16,pm25,4.250481777101519
AUS,2020-02-17,no2,0.014391267414511077
AUS,2020-02-17,o3,0.02487170403555777
AUS,2020-02-17,pm25,4.002033134826447
AUS,2020-02-18,no2,0.014187616080833805
AUS,2020-02-18,o3,0.040312277648201056
AUS,2020-02-18,pm25,6.1806911675692415
AUS,2020-02-19,no2,0.009580938514573784
AUS,2020-02-19,o3,0.04000685186609165
AUS,2020-02-19,pm25,4.97829492784789
AUS,2020-02-20,no2,0.009861499102451314
AUS,2020-02-20,o3,0.03516146788781869
AUS,2020-02-20,pm25,4.775227999414891
AUS,2020-02-21,no2,0.008795446543471258
AUS,2020-02-21,o3,0.0321256697113611
AUS,2020-02-21,pm25,5.63957538281154
