system:index,city_id,countryCode,date,downward_shortwave_radiation_flux,precipitable_water_entire_atmosphere,relative_humidity_2m_above_ground,specific_humidity_2m_above_ground,temperature_2m_above_ground,total_cloud_cover_entire_atmosphere,total_precipitation_surface,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,.geo
2017010100F001_0000000000000000060a,1537,CHN,2017-01-01T00:00:00,60.43478261,18.24347869,78.16087109,0.006373913,10.64390816,83.56521739,8.70E-04,0.299130426,-0.230869561,
2017010100F001_0000000000000000060b,1538,CHN,2017-01-01T00:00:00,112.6086957,11.60000022,47.16956595,0.002738261,6.186517334,21.17391304,0,1.489130382,0.5995652,
2017010100F001_0000000000000000060c,1539,CHN,2017-01-01T00:00:00,112.173913,8.330434986,79.90869738,0.00363,2.203905719,55.47826087,0,0.423913036,0.473478264,
2017010100F001_00000000000000000610,1543,CHN,2017-01-01T00:00:00,109.5652174,8.391304451,71.117392,0.003348696,3.555647344,48.04347826,0,0.435652162,-0.048695656,
2017010100F001_00000000000000000611,1544,CHN,2017-01-01T00:00:00,89.13043478,17.50000029,78.32608812,0.004627826,6.666950259,46.39130435,0.024347826,-0.833043464,-0.419130417,
2017010100F001_00000000000000000613,1546,CHN,2017-01-01T00:00:00,129.5652174,18.41304393,85.0347844,0.005803913,8.681732708,41.43478261,0,-0.558260862,-0.429130433,
2017010100F001_00000000000000000614,1547,CHN,2017-01-01T00:00:00,195.6521739,36.7391316,81.12608918,0.010188695,17.87086208,27.17391304,0,-2.134347763,-0.406086946,
2017010100F001_00000000000000000615,1548,CHN,2017-01-01T00:00:00,192.173913,37.18260939,60.08695735,0.007228696,17.31651691,8.173913043,0,-0.455217375,-0.295652169,
2017010100F001_00000000000000000616,1549,CHN,2017-01-01T00:00:00,73.04347826,25.45652215,86.80000172,0.00853913,14.06303658,87.34782609,0.018695652,-0.160434775,-0.554782596,
2017010100F001_00000000000000000617,1550,CHN,2017-01-01T00:00:00,135.6521739,10.64782619,50.26087064,0.002839565,5.977387005,1.086956522,0,0.35304347,1.053913023,
2017010100F001_0000000000000000061a,1553,CHN,2017-01-01T00:00:00,170,20.03478291,74.90869754,0.006302609,11.43216792,33.69565217,0,-0.65565216,-0.331739125,
2017010100F001_0000000000000000061b,1554,CHN,2017-01-01T00:00:00,167.826087,41.24347869,80.14347939,0.011393913,19.94651516,33.34782609,0,-4.890869514,0.27608695,
2017010100F001_0000000000000000061c,1555,CHN,2017-01-01T00:00:00,141.7391304,18.8173916,80.9173929,0.006536956,11.10086776,41.30434783,0,-0.403043465,0.188695644,
2017010100F001_0000000000000000061e,1557,CHN,2017-01-01T00:00:00,100.4347826,7.717391449,71.60869648,0.003145217,2.629125711,60.43478261,0,-0.041304342,-0.890434762,
2017010100F001_0000000000000000061f,1558,CHN,2017-01-01T00:00:00,39.56521739,15.75217417,79.39565343,0.003986087,4.192167066,46.69565217,0,-0.126956515,-0.333913038,
2017010100F001_00000000000000000620,1559,CHN,2017-01-01T00:00:00,191.7391304,25.48695689,84.43478427,0.008786087,13.67477603,1.652173913,0,-0.773478238,0.096086957,
2017010100F001_00000000000000000621,1560,CHN,2017-01-01T00:00:00,110.4347826,8.291304485,71.22608815,0.003422609,3.713472317,48.52173913,0,0.991304321,0.309999995,
2017010100F001_00000000000000000622,1561,CHN,2017-01-01T00:00:00,193.0434783,30.66087001,80.84347949,0.009563913,16.8621659,6.695652174,0,-0.126521735,0.58913041,
2017010100F001_00000000000000000624,1563,CHN,2017-01-01T00:00:00,109.1304348,11.91739149,69.05652254,0.003846522,5.659121837,45.39130435,0,0.613913026,0.724782596,
