adm0_a3,pop18
TUN,3165947.0260438565
TUR,23138039.7454562
TWN,4221594.196782321
TZA,26833855.820924506
UGA,21353055.899868675
UKR,8480138.365172109
URY,892298.0439900481
USA,77295467.54575478
UZB,11365001.174891982
VAT,25701.71142578125
VCT,17596.094445228577
VEN,9862625.88744443
VGB,3981.840087532997
VIR,16941.124245882034
VNM,27130500.80281289
VUT,93635.43411646446
WLF,886.9599189758301
WSM,80704.4195125103
YEM,14719032.768682592
ZAF,18599687.103807002
ZMB,8698313.746600902
ZWE,7072100.8641385175
